id,product_id,store_id,price,stock_status,last_updated
1,1,1,34.2,in_stock,2026-02-21 19:03:10.657
2,1,2,31.31,in_stock,2026-03-02 19:03:10.657
3,1,3,34.64,in_stock,2026-02-23 19:03:10.657
4,1,4,33.05,in_stock,2026-02-25 19:03:10.657
5,1,5,31.53,in_stock,2026-02-25 19:03:10.657
6,2,1,53.86,in_stock,2026-02-28 19:03:10.657
7,2,2,64.15,in_stock,2026-03-03 19:03:10.657
8,2,3,63.19,in_stock,2026-02-28 19:03:10.657
9,2,4,53.64,low_stock,2026-02-27 19:03:10.657
10,2,5,60.34,in_stock,2026-02-22 19:03:10.657
11,3,1,179.92,in_stock,2026-03-01 19:03:10.657
12,3,2,168.52,in_stock,2026-02-28 19:03:10.657
13,3,3,183.47,in_stock,2026-03-02 19:03:10.657
14,3,4,194.12,in_stock,2026-02-24 19:03:10.657
15,3,5,200.56,in_stock,2026-02-26 19:03:10.657
16,4,1,40.79,low_stock,2026-02-26 19:03:10.657
17,4,2,38.8,in_stock,2026-02-20 19:03:10.657
18,4,3,44.56,in_stock,2026-02-27 19:03:10.657
19,4,4,41.5,low_stock,2026-02-20 19:03:10.657
20,4,5,40.59,in_stock,2026-03-02 19:03:10.657
21,5,1,164.78,in_stock,2026-02-19 19:03:10.657
22,5,2,176.87,low_stock,2026-02-25 19:03:10.657
23,5,3,160.52,in_stock,2026-02-19 19:03:10.657
24,5,4,188.54,in_stock,2026-02-18 19:03:10.657
25,5,5,175.34,in_stock,2026-02-22 19:03:10.657
26,6,1,36.02,in_stock,2026-03-02 19:03:10.657
27,6,2,39.62,low_stock,2026-02-24 19:03:10.657
28,6,3,38.12,in_stock,2026-02-20 19:03:10.657
29,6,4,38.17,in_stock,2026-02-21 19:03:10.657
30,6,5,39.43,in_stock,2026-02-25 19:03:10.657
31,7,1,366.76,in_stock,2026-02-24 19:03:10.657
32,7,2,315.72,in_stock,2026-02-24 19:03:10.657
33,7,3,287.26,in_stock,2026-03-01 19:03:10.657
34,7,4,352.48,in_stock,2026-02-18 19:03:10.657
35,7,5,329.26,in_stock,2026-02-25 19:03:10.657
36,8,1,57.47,low_stock,2026-02-18 19:03:10.657
37,8,2,55.5,in_stock,2026-02-20 19:03:10.657
38,8,3,55.25,in_stock,2026-02-25 19:03:10.657
39,8,4,64.2,in_stock,2026-03-01 19:03:10.657
40,8,5,50.9,in_stock,2026-03-03 19:03:10.657
41,9,1,30.76,in_stock,2026-02-27 19:03:10.657
42,9,2,28.94,in_stock,2026-02-23 19:03:10.657
43,9,3,29.72,in_stock,2026-03-01 19:03:10.657
44,9,4,32.61,in_stock,2026-02-22 19:03:10.657
45,9,5,32.29,in_stock,2026-02-24 19:03:10.657
46,10,1,20.7,in_stock,2026-02-18 19:03:10.657
47,10,2,19.52,in_stock,2026-02-25 19:03:10.657
48,10,3,17.99,in_stock,2026-02-21 19:03:10.657
49,10,4,18.0,in_stock,2026-02-28 19:03:10.657
50,10,5,18.22,in_stock,2026-02-22 19:03:10.657
51,11,1,17.92,in_stock,2026-03-01 19:03:10.657
52,11,2,20.82,low_stock,2026-02-22 19:03:10.657
53,11,3,17.75,low_stock,2026-02-22 19:03:10.657
54,11,4,19.86,in_stock,2026-02-26 19:03:10.657
55,11,5,21.21,in_stock,2026-03-02 19:03:10.657
56,12,1,45.39,out_of_stock,2026-02-24 19:03:10.657
57,12,2,40.96,in_stock,2026-03-01 19:03:10.657
58,12,3,36.43,in_stock,2026-02-27 19:03:10.657
59,12,4,40.94,in_stock,2026-02-23 19:03:10.657
60,12,5,35.48,low_stock,2026-02-23 19:03:10.657
61,13,1,108.74,in_stock,2026-03-03 19:03:10.657
62,13,2,121.82,in_stock,2026-02-21 19:03:10.657
63,13,3,125.29,in_stock,2026-02-27 19:03:10.657
64,13,4,113.91,low_stock,2026-02-26 19:03:10.657
65,13,5,122.27,in_stock,2026-02-19 19:03:10.657
66,14,1,46.39,in_stock,2026-02-22 19:03:10.657
67,14,2,50.56,out_of_stock,2026-02-18 19:03:10.657
68,14,3,42.23,in_stock,2026-02-25 19:03:10.657
69,14,4,49.59,in_stock,2026-02-23 19:03:10.657
70,14,5,46.25,in_stock,2026-03-03 19:03:10.657
71,15,1,46.92,in_stock,2026-02-28 19:03:10.657
72,15,2,45.69,out_of_stock,2026-02-24 19:03:10.657
73,15,3,47.15,in_stock,2026-02-26 19:03:10.657
74,15,4,48.99,in_stock,2026-02-28 19:03:10.657
75,15,5,38.25,in_stock,2026-02-26 19:03:10.657
76,16,1,61.19,in_stock,2026-02-22 19:03:10.657
77,16,2,73.59,in_stock,2026-02-21 19:03:10.657
78,16,3,63.91,in_stock,2026-02-18 19:03:10.657
79,16,4,70.08,low_stock,2026-02-19 19:03:10.657
80,16,5,71.07,in_stock,2026-03-01 19:03:10.657
81,17,1,161.63,in_stock,2026-03-02 19:03:10.657
82,17,2,179.24,out_of_stock,2026-02-25 19:03:10.657
83,17,3,163.03,in_stock,2026-03-02 19:03:10.657
84,17,4,175.59,in_stock,2026-03-01 19:03:10.657
85,17,5,142.12,in_stock,2026-02-24 19:03:10.657
86,18,1,39.27,in_stock,2026-02-18 19:03:10.657
87,18,2,37.06,in_stock,2026-02-26 19:03:10.657
88,18,3,32.44,in_stock,2026-03-03 19:03:10.657
89,18,4,30.95,out_of_stock,2026-02-21 19:03:10.657
90,18,5,31.88,in_stock,2026-03-01 19:03:10.657
91,19,1,30.3,low_stock,2026-02-18 19:03:10.657
92,19,2,34.27,in_stock,2026-02-28 19:03:10.657
93,19,3,29.04,in_stock,2026-02-22 19:03:10.657
94,19,4,29.33,in_stock,2026-02-18 19:03:10.657
95,19,5,27.58,low_stock,2026-02-26 19:03:10.657
96,20,1,63.21,in_stock,2026-02-18 19:03:10.657
97,20,2,63.32,in_stock,2026-02-23 19:03:10.657
98,20,3,50.56,in_stock,2026-02-23 19:03:10.657
99,20,4,48.71,in_stock,2026-03-01 19:03:10.657
100,20,5,58.44,in_stock,2026-03-01 19:03:10.657
101,21,1,88.51,in_stock,2026-02-20 19:03:10.657
102,21,2,87.03,in_stock,2026-02-21 19:03:10.657
103,21,3,98.37,in_stock,2026-02-19 19:03:10.657
104,21,4,105.73,low_stock,2026-03-03 19:03:10.657
105,21,5,90.68,in_stock,2026-02-19 19:03:10.657
106,22,1,109.12,in_stock,2026-03-03 19:03:10.657
107,22,2,132.96,low_stock,2026-02-24 19:03:10.657
108,22,3,117.32,out_of_stock,2026-02-22 19:03:10.657
109,22,4,124.04,in_stock,2026-02-24 19:03:10.657
110,22,5,123.89,in_stock,2026-02-23 19:03:10.657
111,23,1,23.25,in_stock,2026-02-27 19:03:10.657
112,23,2,23.14,low_stock,2026-02-28 19:03:10.657
113,23,3,22.64,in_stock,2026-03-02 19:03:10.657
114,23,4,19.95,in_stock,2026-02-21 19:03:10.657
115,23,5,19.04,in_stock,2026-02-21 19:03:10.657
116,24,1,48.54,in_stock,2026-02-19 19:03:10.657
117,24,2,46.32,in_stock,2026-02-21 19:03:10.657
118,24,3,49.49,in_stock,2026-03-01 19:03:10.657
119,24,4,58.51,in_stock,2026-03-02 19:03:10.657
120,24,5,49.97,in_stock,2026-02-21 19:03:10.657
121,25,1,56.49,in_stock,2026-02-25 19:03:10.657
122,25,2,58.91,in_stock,2026-02-25 19:03:10.657
123,25,3,46.94,in_stock,2026-02-20 19:03:10.657
124,25,4,49.49,in_stock,2026-02-24 19:03:10.657
125,25,5,50.61,in_stock,2026-02-26 19:03:10.657
126,26,1,351.98,in_stock,2026-03-02 19:03:10.657
127,26,2,310.71,low_stock,2026-02-28 19:03:10.657
128,26,3,398.31,in_stock,2026-02-27 19:03:10.657
129,26,4,326.94,low_stock,2026-03-01 19:03:10.657
130,26,5,326.79,in_stock,2026-02-25 19:03:10.657
131,27,1,68.09,in_stock,2026-02-27 19:03:10.657
132,27,2,60.11,in_stock,2026-02-23 19:03:10.657
133,27,3,63.07,in_stock,2026-03-02 19:03:10.657
134,27,4,57.82,in_stock,2026-03-01 19:03:10.657
135,27,5,60.46,in_stock,2026-03-03 19:03:10.657
136,28,1,58.87,in_stock,2026-03-02 19:03:10.657
137,28,2,58.43,in_stock,2026-02-27 19:03:10.657
138,28,3,62.64,in_stock,2026-02-26 19:03:10.657
139,28,4,64.81,in_stock,2026-02-27 19:03:10.657
140,28,5,58.66,in_stock,2026-02-20 19:03:10.657
141,29,1,85.64,in_stock,2026-03-01 19:03:10.657
142,29,2,86.27,in_stock,2026-02-27 19:03:10.657
143,29,3,96.17,in_stock,2026-02-28 19:03:10.657
144,29,4,87.03,in_stock,2026-03-01 19:03:10.657
145,29,5,86.5,in_stock,2026-02-27 19:03:10.657
146,30,1,17.82,in_stock,2026-02-23 19:03:10.657
147,30,2,20.91,in_stock,2026-02-24 19:03:10.657
148,30,3,19.07,in_stock,2026-02-21 19:03:10.657
